X,Y,Z,Normalized Luminosity,Normalized Radius
858.00028,-2458.63178,2887.88929,0.00003,0.00154
815.91752,-2341.08155,2750.42661,0.00001,0.00102
795.71221,-2280.65151,2679.64104,0.00000,0.00083
6463.89585,-18458.19314,21679.61508,0.00000,0.00002
923.40460,-2637.43001,3098.96332,0.00000,0.00086
177.28244,-507.25204,595.71047,0.00000,0.01702
1446.19189,-4135.80845,4861.44481,0.00000,0.00035
316.09580,-904.46312,1062.62402,0.00000,0.00215
303.99730,-867.57796,1018.61960,0.00000,0.00444
1477.73224,-4217.03973,4952.65240,0.00000,0.00034
