pl_name,hostname,ra,dec,sy_dist,X,Y,Z
Kepler-858 b,Kepler-858,288.8488552,51.2090375,298.532,60.422552064918605,-176.99523150490344,232.6868244024311
Kepler-859 b,Kepler-859,286.7418337,43.1901197,839.903,176.396886881682,-586.4055331199771,574.8475784359943
Kepler-860 b,Kepler-860,295.5772681,46.2547028,1056.36,315.3444728384159,-658.8453718118935,763.1363502627228
Kepler-861 b,Kepler-861,292.3539624,46.2262465,850.327,223.73397597270238,-544.0597060494003,614.0017517710241
Kepler-862 b,Kepler-862,297.7792466,46.4926688,1039.03,333.38530315556983,-632.8770378268074,753.5942114503232
Kepler-863 b,Kepler-863,297.6644677,43.2489903,1499.66,507.159603977436,-967.4539929789817,1027.5222738035782
Kepler-864 b,Kepler-864,285.0570943,46.3206074,2022.9,362.9302480966546,-1349.095282671862,1462.992810402372
Kepler-864 c,Kepler-864,285.0570943,46.3206074,2022.9,362.9302480966546,-1349.095282671862,1462.992810402372
Kepler-865 b,Kepler-865,297.7242257,43.5272796,586.137,197.70607350971616,-376.18802131773856,403.67247104975496
Kepler-865 c,Kepler-865,297.7242257,43.5272796,586.137,197.70607350971616,-376.18802131773856,403.67247104975496
Kepler-866 b,Kepler-866,290.1222112,43.085407,646.667,162.47702469919088,-443.4565860173546,441.7303268417635
Kepler-867 b,Kepler-867,287.2852554,51.2499499,1195.54,222.34691280570365,-714.5213268068794,932.3824405810683
Kepler-868 b,Kepler-868,282.3635315,46.6752384,1593.13,234.04735161353364,-1067.7484485237178,1158.9643155757149
Kepler-869 b,Kepler-869,289.4245955,50.9941198,939.455,196.6439860528706,-557.6366997077822,730.032979332613
Kepler-87 b,Kepler-87,297.9168433,46.9651146,1232.9,393.9275283717265,-743.4710441746159,901.1738560704307
Kepler-87 c,Kepler-87,297.9168433,46.9651146,1232.9,393.9275283717265,-743.4710441746159,901.1738560704307
Kepler-870 b,Kepler-870,295.4025625,50.4785992,1259.46,343.8144580473038,-723.9879986855007,971.531001974205
Kepler-871 b,Kepler-871,294.5270634,43.3681317,1976.05,596.3253817802738,-1306.880414202834,1356.9204930715873
Kepler-872 b,Kepler-872,295.4174725,43.6056117,879.683,273.3995285935747,-575.3252055774461,606.7089797267554
Kepler-873 b,Kepler-873,296.4031319,51.2712773,1182.22,328.9047565358079,-662.4834071052949,922.2697679303388
Kepler-874 b,Kepler-874,294.9568477,43.0142991,1082.16,333.85967751154254,-717.3744919792294,738.2288395812179
Kepler-875 b,Kepler-875,297.3012497,43.1418313,1242.62,415.8724278039648,-805.6949495970666,849.7118549168393
